,acceptor,donor
0,CCCCCCOCCc1c(C=C2C(=O)c3ccccc3C2=C(C#N)C#N)sc2c3c4nsnc4c4c5sc(C=C6C(=O)c7cc(-c8ccc(-c9ccc%10c(c9)C(=O)C(=Cc9sc%11c%12c%13nsnc%13c%13c%14sc(C=C%15C(=O)c%16ccccc%16C%15=C(C#N)C#N)c(CCOCCCCCC)c%14n(CC(CCCC)CCCCCC)c%13c%12n(CC(CCCC)CCCCCC)c%11c9CCOCCCCCC)C%10=C(C#N)C#N)s8)ccc7C6=C(C#N)C#N)c(CCOCCCCCC)c5n(CC(CCCC)CCCCCC)c4c3n(CC(CCCC)CCCCCC)c12,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F
1,CCCCCCOCCc1c(C=C2C(=O)c3cc(-c4ccc(-c5ccc6c(c5)C(=O)C(=Cc5sc7c8c9nsnc9c9c%10sc(C=C%11C(=O)c%12cc(Cl)c(Cl)cc%12C%11=C(C#N)C#N)c(CCOCCCCCC)c%10n(CC(CCCC)CCCCCC)c9c8n(CC(CCCC)CCCCCC)c7c5CCOCCCCCC)C6=C(C#N)C#N)s4)ccc3C2=C(C#N)C#N)sc2c3c4nsnc4c4c5sc(C=C6C(=O)c7cc(Cl)c(Cl)cc7C6=C(C#N)C#N)c(CCOCCCCCC)c5n(CC(CCCC)CCCCCC)c4c3n(CC(CCCC)CCCCCC)c12,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F
2,CCCCCCOCCc1c(C=C2C(=O)c3cc(-c4ccc(-c5ccc6c(c5)C(=O)C(=Cc5sc7c8c9nsnc9c9c%10sc(C=C%11C(=O)c%12cc(F)c(F)cc%12C%11=C(C#N)C#N)c(CCOCCCCCC)c%10n(CC(CCCC)CCCCCC)c9c8n(CC(CCCC)CCCCCC)c7c5CCOCCCCCC)C6=C(C#N)C#N)s4)ccc3C2=C(C#N)C#N)sc2c3c4nsnc4c4c5sc(C=C6C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)c(CCOCCCCCC)c5n(CC(CCCC)CCCCCC)c4c3n(CC(CCCC)CCCCCC)c12,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F
3,CCCCCCOCCc1c(C=C2C(=O)c3cc(F)ccc3C2=C(C#N)C#N)sc2c3c4nsnc4c4c5sc(C=C6C(=O)c7cc(-c8ccc(-c9ccc%10c(c9)C(=O)C(=Cc9sc%11c%12c%13nsnc%13c%13c%14sc(C=C%15C(=O)c%16cc(F)ccc%16C%15=C(C#N)C#N)c(CCOCCCCCC)c%14n(CC(CCCC)CCCCCC)c%13c%12n(CC(CCCC)CCCCCC)c%11c9CCOCCCCCC)C%10=C(C#N)C#N)s8)ccc7C6=C(C#N)C#N)c(CCOCCCCCC)c5n(CC(CCCC)CCCCCC)c4c3n(CC(CCCC)CCCCCC)c12,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F
4,CCCCCCOCCc1c(C=C2C(=O)c3cc(Cl)ccc3C2=C(C#N)C#N)sc2c3c4nsnc4c4c5sc(C=C6C(=O)c7cc(-c8ccc(-c9ccc%10c(c9)C(=O)C(=Cc9sc%11c%12c%13nsnc%13c%13c%14sc(C=C%15C(=O)c%16cc(Cl)ccc%16C%15=C(C#N)C#N)c(CCOCCCCCC)c%14n(CC(CCCC)CCCCCC)c%13c%12n(CC(CCCC)CCCCCC)c%11c9CCOCCCCCC)C%10=C(C#N)C#N)s8)ccc7C6=C(C#N)C#N)c(CCOCCCCCC)c5n(CC(CCCC)CCCCCC)c4c3n(CC(CCCC)CCCCCC)c12,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F
5,CCCCCCC(CCCC)Cn1c2c(CCOCC(CC)CCCC)c(C=C3C(=O)c4ccccc4C3=C(C#N)C#N)sc2c2c3n[se]nc3c3c4sc(C=C5C(=O)c6cc(-c7ccc(-c8ccc9c(c8)C(=O)C(=Cc8sc%10c%11c%12n[se]nc%12c%12c%13sc(C=C%14C(=O)c%15ccccc%15C%14=C(C#N)C#N)c(CCOCC(CC)CCCC)c%13n(CC(CCCC)CCCCCC)c%12c%11n(CC(CCCC)CCCCCC)c%10c8CCOCC(CC)CCCC)C9=C(C#N)C#N)s7)ccc6C5=C(C#N)C#N)c(CCOCC(CC)CCCC)c4n(CC(CCCC)CCCCCC)c3c21,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F
6,CCCCCCC(CCCC)Cn1c2c(CCOCC(CC)CCCC)c(C=C3C(=O)c4cc(-c5ccc(-c6ccc7c(c6)C(=O)C(=Cc6sc8c9c%10n[se]nc%10c%10c%11sc(C=C%12C(=O)c%13cc(Cl)c(Cl)cc%13C%12=C(C#N)C#N)c(CCOCC(CC)CCCC)c%11n(CC(CCCC)CCCCCC)c%10c9n(CC(CCCC)CCCCCC)c8c6CCOCC(CC)CCCC)C7=C(C#N)C#N)s5)ccc4C3=C(C#N)C#N)sc2c2c3n[se]nc3c3c4sc(C=C5C(=O)c6cc(Cl)c(Cl)cc6C5=C(C#N)C#N)c(CCOCC(CC)CCCC)c4n(CC(CCCC)CCCCCC)c3c21,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F
7,CCCCCCC(CCCC)Cn1c2c(CCOCC(CC)CCCC)c(C=C3C(=O)c4cc(-c5ccc(-c6ccc7c(c6)C(=O)C(=Cc6sc8c9c%10n[se]nc%10c%10c%11sc(C=C%12C(=O)c%13cc(F)c(F)cc%13C%12=C(C#N)C#N)c(CCOCC(CC)CCCC)c%11n(CC(CCCC)CCCCCC)c%10c9n(CC(CCCC)CCCCCC)c8c6CCOCC(CC)CCCC)C7=C(C#N)C#N)s5)ccc4C3=C(C#N)C#N)sc2c2c3n[se]nc3c3c4sc(C=C5C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)c(CCOCC(CC)CCCC)c4n(CC(CCCC)CCCCCC)c3c21,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F
8,CCCCCCC(CCCC)Cn1c2c(CCOCC(CC)CCCC)c(C=C3C(=O)c4cc(F)ccc4C3=C(C#N)C#N)sc2c2c3n[se]nc3c3c4sc(C=C5C(=O)c6cc(-c7ccc(-c8ccc9c(c8)C(=O)C(=Cc8sc%10c%11c%12n[se]nc%12c%12c%13sc(C=C%14C(=O)c%15cc(F)ccc%15C%14=C(C#N)C#N)c(CCOCC(CC)CCCC)c%13n(CC(CCCC)CCCCCC)c%12c%11n(CC(CCCC)CCCCCC)c%10c8CCOCC(CC)CCCC)C9=C(C#N)C#N)s7)ccc6C5=C(C#N)C#N)c(CCOCC(CC)CCCC)c4n(CC(CCCC)CCCCCC)c3c21,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F
9,CCCCCCC(CCCC)Cn1c2c(CCOCC(CC)CCCC)c(C=C3C(=O)c4cc(Cl)ccc4C3=C(C#N)C#N)sc2c2c3n[se]nc3c3c4sc(C=C5C(=O)c6cc(-c7ccc(-c8ccc9c(c8)C(=O)C(=Cc8sc%10c%11c%12n[se]nc%12c%12c%13sc(C=C%14C(=O)c%15cc(Cl)ccc%15C%14=C(C#N)C#N)c(CCOCC(CC)CCCC)c%13n(CC(CCCC)CCCCCC)c%12c%11n(CC(CCCC)CCCCCC)c%10c8CCOCC(CC)CCCC)C9=C(C#N)C#N)s7)ccc6C5=C(C#N)C#N)c(CCOCC(CC)CCCC)c4n(CC(CCCC)CCCCCC)c3c21,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F
10,CCCCCCC(CCCC)Cn1c2c(CCOCC(CC)CCCC)c(C=C3C(=O)c4ccccc4C3=C(C#N)C#N)sc2c2c3nsnc3c3c4sc(C=C5C(=O)c6cc(-c7ccc(-c8ccc9c(c8)C(=O)C(=Cc8sc%10c%11c%12nsnc%12c%12c%13sc(C=C%14C(=O)c%15ccccc%15C%14=C(C#N)C#N)c(CCOCC(CC)CCCC)c%13n(CC(CCCC)CCCCCC)c%12c%11n(CC(CCCC)CCCCCC)c%10c8CCOCC(CC)CCCC)C9=C(C#N)C#N)s7)ccc6C5=C(C#N)C#N)c(CCOCC(CC)CCCC)c4n(CC(CCCC)CCCCCC)c3c21,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F
11,CCCCCCC(CCCC)Cn1c2c(CCOCC(CC)CCCC)c(C=C3C(=O)c4cc(-c5ccc(-c6ccc7c(c6)C(=O)C(=Cc6sc8c9c%10nsnc%10c%10c%11sc(C=C%12C(=O)c%13cc(Cl)c(Cl)cc%13C%12=C(C#N)C#N)c(CCOCC(CC)CCCC)c%11n(CC(CCCC)CCCCCC)c%10c9n(CC(CCCC)CCCCCC)c8c6CCOCC(CC)CCCC)C7=C(C#N)C#N)s5)ccc4C3=C(C#N)C#N)sc2c2c3nsnc3c3c4sc(C=C5C(=O)c6cc(Cl)c(Cl)cc6C5=C(C#N)C#N)c(CCOCC(CC)CCCC)c4n(CC(CCCC)CCCCCC)c3c21,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F
12,CCCCCCC(CCCC)Cn1c2c(CCOCC(CC)CCCC)c(C=C3C(=O)c4cc(-c5ccc(-c6ccc7c(c6)C(=O)C(=Cc6sc8c9c%10nsnc%10c%10c%11sc(C=C%12C(=O)c%13cc(F)c(F)cc%13C%12=C(C#N)C#N)c(CCOCC(CC)CCCC)c%11n(CC(CCCC)CCCCCC)c%10c9n(CC(CCCC)CCCCCC)c8c6CCOCC(CC)CCCC)C7=C(C#N)C#N)s5)ccc4C3=C(C#N)C#N)sc2c2c3nsnc3c3c4sc(C=C5C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)c(CCOCC(CC)CCCC)c4n(CC(CCCC)CCCCCC)c3c21,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F
13,CCCCCCC(CCCC)Cn1c2c(CCOCC(CC)CCCC)c(C=C3C(=O)c4cc(F)ccc4C3=C(C#N)C#N)sc2c2c3nsnc3c3c4sc(C=C5C(=O)c6cc(-c7ccc(-c8ccc9c(c8)C(=O)C(=Cc8sc%10c%11c%12nsnc%12c%12c%13sc(C=C%14C(=O)c%15cc(F)ccc%15C%14=C(C#N)C#N)c(CCOCC(CC)CCCC)c%13n(CC(CCCC)CCCCCC)c%12c%11n(CC(CCCC)CCCCCC)c%10c8CCOCC(CC)CCCC)C9=C(C#N)C#N)s7)ccc6C5=C(C#N)C#N)c(CCOCC(CC)CCCC)c4n(CC(CCCC)CCCCCC)c3c21,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F
14,CCCCCCC(CCCC)Cn1c2c(CCOCC(CC)CCCC)c(C=C3C(=O)c4cc(Cl)ccc4C3=C(C#N)C#N)sc2c2c3nsnc3c3c4sc(C=C5C(=O)c6cc(-c7ccc(-c8ccc9c(c8)C(=O)C(=Cc8sc%10c%11c%12nsnc%12c%12c%13sc(C=C%14C(=O)c%15cc(Cl)ccc%15C%14=C(C#N)C#N)c(CCOCC(CC)CCCC)c%13n(CC(CCCC)CCCCCC)c%12c%11n(CC(CCCC)CCCCCC)c%10c8CCOCC(CC)CCCC)C9=C(C#N)C#N)s7)ccc6C5=C(C#N)C#N)c(CCOCC(CC)CCCC)c4n(CC(CCCC)CCCCCC)c3c21,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F
15,CCCCCCC(CCCC)Cn1c2c3sc(C=C4C(=O)c5ccccc5C4=C(C#N)C#N)c(CCOCC(CC)CCCC)c3sc2c2c3n[se]nc3c3c4sc5c(CCOCC(CC)CCCC)c(C=C6C(=O)c7cc(-c8ccc(-c9ccc%10c(c9)C(=O)C(=Cc9sc%11c(sc%12c%13c%14n[se]nc%14c%14c%15sc%16c(CCOCC(CC)CCCC)c(C=C%17C(=O)c%18ccccc%18C%17=C(C#N)C#N)sc%16c%15n(CC(CCCC)CCCCCC)c%14c%13n(CC(CCCC)CCCCCC)c%11%12)c9CCOCC(CC)CCCC)C%10=C(C#N)C#N)s8)ccc7C6=C(C#N)C#N)sc5c4n(CC(CCCC)CCCCCC)c3c21,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F
16,CCCCCCC(CCCC)Cn1c2c3sc(C=C4C(=O)c5cc(-c6ccc(-c7ccc8c(c7)C(=O)C(=Cc7sc9c(sc%10c%11c%12n[se]nc%12c%12c%13sc%14c(CCOCC(CC)CCCC)c(C=C%15C(=O)c%16cc(Cl)c(Cl)cc%16C%15=C(C#N)C#N)sc%14c%13n(CC(CCCC)CCCCCC)c%12c%11n(CC(CCCC)CCCCCC)c9%10)c7CCOCC(CC)CCCC)C8=C(C#N)C#N)s6)ccc5C4=C(C#N)C#N)c(CCOCC(CC)CCCC)c3sc2c2c3n[se]nc3c3c4sc5c(CCOCC(CC)CCCC)c(C=C6C(=O)c7cc(Cl)c(Cl)cc7C6=C(C#N)C#N)sc5c4n(CC(CCCC)CCCCCC)c3c21,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F
17,CCCCCCC(CCCC)Cn1c2c3sc(C=C4C(=O)c5cc(-c6ccc(-c7ccc8c(c7)C(=O)C(=Cc7sc9c(sc%10c%11c%12n[se]nc%12c%12c%13sc%14c(CCOCC(CC)CCCC)c(C=C%15C(=O)c%16cc(F)c(F)cc%16C%15=C(C#N)C#N)sc%14c%13n(CC(CCCC)CCCCCC)c%12c%11n(CC(CCCC)CCCCCC)c9%10)c7CCOCC(CC)CCCC)C8=C(C#N)C#N)s6)ccc5C4=C(C#N)C#N)c(CCOCC(CC)CCCC)c3sc2c2c3n[se]nc3c3c4sc5c(CCOCC(CC)CCCC)c(C=C6C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)sc5c4n(CC(CCCC)CCCCCC)c3c21,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F
18,CCCCCCC(CCCC)Cn1c2c3sc(C=C4C(=O)c5cc(F)ccc5C4=C(C#N)C#N)c(CCOCC(CC)CCCC)c3sc2c2c3n[se]nc3c3c4sc5c(CCOCC(CC)CCCC)c(C=C6C(=O)c7cc(-c8ccc(-c9ccc%10c(c9)C(=O)C(=Cc9sc%11c(sc%12c%13c%14n[se]nc%14c%14c%15sc%16c(CCOCC(CC)CCCC)c(C=C%17C(=O)c%18cc(F)ccc%18C%17=C(C#N)C#N)sc%16c%15n(CC(CCCC)CCCCCC)c%14c%13n(CC(CCCC)CCCCCC)c%11%12)c9CCOCC(CC)CCCC)C%10=C(C#N)C#N)s8)ccc7C6=C(C#N)C#N)sc5c4n(CC(CCCC)CCCCCC)c3c21,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F
19,CCCCCCC(CCCC)Cn1c2c3sc(C=C4C(=O)c5cc(Cl)ccc5C4=C(C#N)C#N)c(CCOCC(CC)CCCC)c3sc2c2c3n[se]nc3c3c4sc5c(CCOCC(CC)CCCC)c(C=C6C(=O)c7cc(-c8ccc(-c9ccc%10c(c9)C(=O)C(=Cc9sc%11c(sc%12c%13c%14n[se]nc%14c%14c%15sc%16c(CCOCC(CC)CCCC)c(C=C%17C(=O)c%18cc(Cl)ccc%18C%17=C(C#N)C#N)sc%16c%15n(CC(CCCC)CCCCCC)c%14c%13n(CC(CCCC)CCCCCC)c%11%12)c9CCOCC(CC)CCCC)C%10=C(C#N)C#N)s8)ccc7C6=C(C#N)C#N)sc5c4n(CC(CCCC)CCCCCC)c3c21,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F
20,CCCCCCC(CCCC)Cn1c2c3sc(C=C4C(=O)c5ccccc5C4=C(C#N)C#N)c(CCOCC(CC)CCCC)c3sc2c2c3nsnc3c3c4sc5c(CCOCC(CC)CCCC)c(C=C6C(=O)c7cc(-c8ccc(-c9ccc%10c(c9)C(=O)C(=Cc9sc%11c(sc%12c%13c%14nsnc%14c%14c%15sc%16c(CCOCC(CC)CCCC)c(C=C%17C(=O)c%18ccccc%18C%17=C(C#N)C#N)sc%16c%15n(CC(CCCC)CCCCCC)c%14c%13n(CC(CCCC)CCCCCC)c%11%12)c9CCOCC(CC)CCCC)C%10=C(C#N)C#N)s8)ccc7C6=C(C#N)C#N)sc5c4n(CC(CCCC)CCCCCC)c3c21,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F
21,CCCCCCC(CCCC)Cn1c2c3sc(C=C4C(=O)c5cc(-c6ccc(-c7ccc8c(c7)C(=O)C(=Cc7sc9c(sc%10c%11c%12nsnc%12c%12c%13sc%14c(CCOCC(CC)CCCC)c(C=C%15C(=O)c%16cc(Cl)c(Cl)cc%16C%15=C(C#N)C#N)sc%14c%13n(CC(CCCC)CCCCCC)c%12c%11n(CC(CCCC)CCCCCC)c9%10)c7CCOCC(CC)CCCC)C8=C(C#N)C#N)s6)ccc5C4=C(C#N)C#N)c(CCOCC(CC)CCCC)c3sc2c2c3nsnc3c3c4sc5c(CCOCC(CC)CCCC)c(C=C6C(=O)c7cc(Cl)c(Cl)cc7C6=C(C#N)C#N)sc5c4n(CC(CCCC)CCCCCC)c3c21,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F
22,CCCCCCC(CCCC)Cn1c2c3sc(C=C4C(=O)c5cc(-c6ccc(-c7ccc8c(c7)C(=O)C(=Cc7sc9c(sc%10c%11c%12nsnc%12c%12c%13sc%14c(CCOCC(CC)CCCC)c(C=C%15C(=O)c%16cc(F)c(F)cc%16C%15=C(C#N)C#N)sc%14c%13n(CC(CCCC)CCCCCC)c%12c%11n(CC(CCCC)CCCCCC)c9%10)c7CCOCC(CC)CCCC)C8=C(C#N)C#N)s6)ccc5C4=C(C#N)C#N)c(CCOCC(CC)CCCC)c3sc2c2c3nsnc3c3c4sc5c(CCOCC(CC)CCCC)c(C=C6C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)sc5c4n(CC(CCCC)CCCCCC)c3c21,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F
